stn    time           rre150d0
AMW    19010101            1.9
AMW    19010102            0.0
AMW    19010103            0.0
AMW    19010104            0.0
AMW    19010105            0.0
AMW    19010106            0.2
AMW    19010107            0.0
AMW    19010108            0.0
AMW    19010109            0.0
AMW    19010110            0.0
AMW    19010111            3.6
AMW    19010112            0.0
AMW    19010113            0.0
AMW    19010114            0.0
AMW    19010115            0.0
AMW    19010116            0.0
AMW    19010117            0.0
AMW    19010118            0.0
AMW    19010119            0.0
AMW    19010120            4.0
AMW    19010121            0.3
AMW    19010122            0.0
AMW    19010123            0.0
AMW    19010124            0.0
AMW    19010125            0.0
AMW    19010126            3.8
AMW    19010127            3.8
AMW    19010128            9.2
AMW    19010129            7.8
AMW    19010130            0.0
AMW    19010131            0.0
AMW    19010201            0.0
AMW    19010202            3.2
AMW    19010203            0.0
AMW    19010204            0.0
AMW    19010205            0.3
AMW    19010206            0.0
AMW    19010207            2.1
AMW    19010208            0.7
AMW    19010209            0.0
AMW    19010210            0.6
AMW    19010211            3.8
AMW    19010212            0.5
AMW    19010213            2.5
AMW    19010214            0.3
AMW    19010215            0.0
AMW    19010216            5.6
AMW    19010217            4.0
AMW    19010218            2.4
AMW    19010219            0.2
AMW    19010220            0.0
AMW    19010221            0.0
AMW    19010222            0.0
AMW    19010223            0.0
AMW    19010224            0.0
AMW    19010225            0.0
AMW    19010226            0.0
AMW    19010227            0.0
AMW    19010228            0.0
AMW    19010301            5.0
AMW    19010302            5.3
AMW    19010303            4.7
AMW    19010304            4.3
AMW    19010305            3.7
AMW    19010306            0.7
AMW    19010307            0.0
AMW    19010308            0.0
AMW    19010309            0.0
AMW    19010310            7.4
AMW    19010311            0.0
AMW    19010312            0.3
AMW    19010313            0.0
AMW    19010314            0.0
AMW    19010315            0.0
AMW    19010316            0.0
AMW    19010317            0.0
AMW    19010318            0.0
AMW    19010319            0.0
AMW    19010320           32.9
AMW    19010321           10.8
AMW    19010322            0.0
AMW    19010323            7.9
AMW    19010324            0.3
AMW    19010325            0.0
AMW    19010326           14.8
AMW    19010327            0.0
AMW    19010328            1.3
AMW    19010329            0.0
AMW    19010330            0.0
AMW    19010331            0.0
AMW    19010401            1.1
AMW    19010402            0.0
AMW    19010403            0.0
AMW    19010404            8.1
AMW    19010405           37.3
AMW    19010406            6.0
AMW    19010407           11.9
AMW    19010408            1.5
AMW    19010409           13.8
AMW    19010410           17.0
AMW    19010411            1.1
AMW    19010412            9.5
AMW    19010413            1.5
AMW    19010414            1.0
AMW    19010415            5.1
AMW    19010416            6.2
AMW    19010417            5.0
AMW    19010418            0.6
AMW    19010419            0.0
AMW    19010420            0.0
AMW    19010421            0.0
AMW    19010422            0.0
AMW    19010423            0.0
AMW    19010424            0.0
AMW    19010425            0.0
AMW    19010426            0.0
AMW    19010427            0.0
AMW    19010428           11.9
AMW    19010429            2.5
AMW    19010430            1.2
AMW    19010501            0.0
AMW    19010502            0.0
AMW    19010503            0.0
AMW    19010504            0.0
AMW    19010505            0.0
AMW    19010506            0.0
AMW    19010507            0.0
AMW    19010508            5.1
AMW    19010509            0.0
AMW    19010510            1.5
AMW    19010511            2.0
AMW    19010512            0.0
AMW    19010513            0.0
AMW    19010514            0.0
AMW    19010515            0.0
AMW    19010516            1.2
AMW    19010517            0.0
AMW    19010518            0.0
AMW    19010519            0.0
AMW    19010520            0.0
AMW    19010521            0.0
AMW    19010522            0.0
AMW    19010523            0.0
AMW    19010524            0.0
AMW    19010525            0.0
AMW    19010526            2.3
AMW    19010527            0.6
AMW    19010528            0.0
AMW    19010529            0.0
AMW    19010530            5.0
AMW    19010531            0.0
AMW    19010601            0.0
AMW    19010602            2.9
AMW    19010603            1.2
AMW    19010604            2.8
AMW    19010605            0.0
AMW    19010606            0.0
AMW    19010607            0.0
AMW    19010608            1.8
AMW    19010609            0.8
AMW    19010610            6.4
AMW    19010611            0.0
AMW    19010612            0.0
AMW    19010613            0.0
AMW    19010614           20.0
AMW    19010615           47.2
AMW    19010616            7.0
AMW    19010617           16.9
AMW    19010618            1.1
AMW    19010619            0.0
AMW    19010620            0.0
AMW    19010621            0.0
AMW    19010622            0.0
AMW    19010623            5.7
AMW    19010624           13.3
AMW    19010625            0.2
AMW    19010626            0.0
AMW    19010627            0.0
AMW    19010628            0.0
AMW    19010629            0.0
AMW    19010630            1.6
AMW    19010701            8.0
AMW    19010702           19.5
AMW    19010703            0.0
AMW    19010704            8.8
AMW    19010705            2.3
AMW    19010706            0.0
AMW    19010707            0.0
AMW    19010708            0.0
AMW    19010709            0.0
AMW    19010710            0.0
AMW    19010711            0.0
AMW    19010712            0.0
AMW    19010713            0.0
AMW    19010714            0.0
AMW    19010715            1.0
AMW    19010716            0.0
AMW    19010717            0.0
AMW    19010718            0.5
AMW    19010719            0.0
AMW    19010720            0.0
AMW    19010721            0.0
